11;OF 1721 C/AR EURO 5;1;MOTOR;47779;11672
11;OF 1721 C/AR EURO 5;2;ARREFECIMENTO;59590;30671
11;OF 1721 C/AR EURO 5;3;EMBREAGEM;86546;26872
11;OF 1721 C/AR EURO 5;4;CAIXA DE MARCHA;55290;17574
11;OF 1721 C/AR EURO 5;5;EIXO DIANTEIRO;157006;106633
11;OF 1721 C/AR EURO 5;6;EIXO TRASEIRO;113730;71423
11;OF 1721 C/AR EURO 5;7;SUSPENSAO;12591;7377
11;OF 1721 C/AR EURO 5;8;DIRECAO  HIDRAULICA;128523;54455
11;OF 1721 C/AR EURO 5;9;TRANSMISSAO;210712;183731
11;OF 1721 C/AR EURO 5;10;FREIO;13232;11335
11;OF 1721 C/AR EURO 5;12;ELETRICA;11168;2897
11;OF 1721 C/AR EURO 5;14;BORRACHARIA;86523;8595
11;OF 1721 C/AR EURO 5;15;SISTEMA PNEUMATICO;80793;56947
11;OF 1721 C/AR EURO 5;16;TACOGRAFO;240677;198164
11;OF 1721 C/AR EURO 5;18;AR CONDICIONADO;48346;7744
11;OF 1721 C/AR EURO 5;20;SISTEMA DE COMBUSTIVEL;123791;95927
11;OF 1721 C/AR EURO 5;21;ARLA;141186;106965
